"Genus","Species","Class","Order","Family","genus_species"
"Rankinia","diemensis","Reptilia","Squamata","Agamidae","Rankinia diemensis"
"Saproscincus","mustelina","Reptilia","Squamata","Scincidae","Saproscincus mustelina"
"Sceloporus","graciosus","Reptilia","Squamata","Phrynosomatidae","Sceloporus graciosus"
"Sceloporus","malachiticus","Reptilia","Squamata","Phrynosomatidae","Sceloporus malachiticus"
"Sceloporus","merriami","Reptilia","Squamata","Phrynosomatidae","Sceloporus merriami"
"Sceloporus","occidentalis","Reptilia","Squamata","Phrynosomatidae","Sceloporus occidentalis"
"Sceloporus","undulatus","Reptilia","Squamata","Phrynosomatidae","Sceloporus undulatus"
"Sceloporus","variabilis","Reptilia","Squamata","Phrynosomatidae","Sceloporus variabilis"
"Scotina","gracilipes","Arachnida","Araneae","Liocranidae","Scotina gracilipes"
"Spea","hammondii","Amphibia","Anura","Scaphiopodidae","Spea hammondii"
"Sphenomorphus","incognitus","Reptilia","Squamata","Scincidae","Sphenomorphus incognitus"
"Sphenomorphus","indicus","Reptilia","Squamata","Scincidae","Sphenomorphus indicus"
"Sphenomorphus","taiwanensis","Reptilia","Squamata","Scincidae","Sphenomorphus taiwanensis"
"Sphoeroides","maculatus","Actinopterygii","Tetraodontiformes","Tetradontidae","Sphoeroides maculatus"
"Stemonyphantes","lineatus","Arachnida","Araneae","Linyphiidae","Stemonyphantes lineatus"
"Takydromus","hsuehshanensis","Reptilia","Squamata","Lacertidae","Takydromus hsuehshanensis"
"Takydromus","septentrionalis","Reptilia","Squamata","Lacertidae","Takydromus septentrionalis"
"Takydromus","sexlineatus","Reptilia","Squamata","Lacertidae","Takydromus sexlineatus"
"Tarentola","boettgeri","Reptilia","Squamata","Gekkonidae","Tarentola boettgeri"
"Testudo","hermanni","Archelosauria","Testudines","Testudinidae","Testudo hermanni"
"Thalassoma","lucasanum","Actinopterygii","Perciformes","Labridae","Thalassoma lucasanum"
"Thamnophis","elegans","Reptilia","Squamata","Colubridae","Thamnophis elegans"
"Thamnophis","ordinoides","Reptilia","Squamata","Colubridae","Thamnophis ordinoides"
"Thamnophis","sirtalis","Reptilia","Squamata","Colubridae","Thamnophis sirtalis"
"Tiliqua","nigrolutea","Reptilia","Squamata","Scincidae","Tiliqua nigrolutea"
"Tiliqua","rugosa","Reptilia","Squamata","Scincidae","Tiliqua rugosa"
"Tlalocohyla","smithii","Amphibia","Anura","Hylidae","Tlalocohyla smithii"
"Trachylepis","striata","Reptilia","Squamata","Scincidae","Trachylepis striata"
"Trimeresurus","gracilis","Reptilia","Squamata","Viperidae","Trimeresurus gracilis"
"Trimeresurus","stejnegeri","Reptilia","Squamata","Viperidae","Trimeresurus stejnegeri"
"Uta","stansburiana","Reptilia","Squamata","Phrynosomatidae","Uta stansburiana"
"Varanus","varius","Reptilia","Squamata","Varanidae","Varanus varius"
"Xantusia","vigilis","Reptilia","Squamata","Xantusiidae","Xantusia vigilis"
"Zootoca","vivipara","Reptilia","Squamata","Lacertidae","Zootoca vivipara"
